City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Invermere,CA,50.5167,-116.0354,60.19,60,8,1.39,scattered clouds
256,Hovd,MN,48.0056,91.6419,34.11,22,6,2.53,scattered clouds
257,Manhattan,US,40.7834,-73.9662,49.95,85,100,15.01,scattered clouds
258,Tuatapere,NZ,-46.1333,167.6833,43.61,95,100,10.56,scattered clouds
259,Lalmohan,BD,22.3384,90.7419,84.02,79,100,9.48,scattered clouds
260,Guerrero Negro,MX,27.9769,-114.0611,69.58,80,75,16.22,scattered clouds
261,Yeppoon,AU,-23.1333,150.7333,74.98,54,3,14.47,scattered clouds
262,Lompoc,US,34.6391,-120.4579,62.02,91,0,9.22,scattered clouds
263,Laguna,US,38.421,-121.4238,74.32,64,0,8.05,scattered clouds
264,Great Falls,US,47.5002,-111.3008,57.69,86,0,5.75,scattered clouds
265,Alofi,NU,-19.0595,-169.9187,76.95,84,19,17.56,scattered clouds
266,Porto Recanati,IT,43.4365,13.6613,61.3,46,2,9.95,scattered clouds
267,High Level,CA,58.5169,-117.136,42.91,75,75,0.0,scattered clouds
268,North Platte,US,41.1239,-100.7654,58.89,91,100,8.05,scattered clouds
269,Moron,AR,-34.6534,-58.6198,55.15,73,14,10.56,scattered clouds
270,Wukari,NG,7.85,9.7833,71.11,97,100,2.68,scattered clouds
271,Plettenberg Bay,ZA,-34.0527,23.3716,54.43,82,35,6.64,scattered clouds
272,Patacamaya,BO,-17.2333,-67.9167,44.69,73,37,5.41,scattered clouds
273,Barabinsk,RU,55.3571,78.357,40.1,51,56,4.74,scattered clouds
274,Dubbo,AU,-32.25,148.6167,68.13,56,12,8.05,scattered clouds
275,Itarema,BR,-2.9248,-39.9167,77.4,80,92,14.7,scattered clouds
276,Ribeira Grande,PT,38.5167,-28.7,69.35,82,91,2.24,scattered clouds
277,Indi,IN,17.1667,75.9667,81.5,60,98,14.18,scattered clouds
278,Camacha,PT,33.0833,-16.3333,63.82,82,20,1.14,scattered clouds
279,Manggar,ID,-2.8833,108.2667,85.53,64,83,4.61,scattered clouds
280,Acapulco,MX,16.8634,-99.8901,80.42,74,20,3.44,scattered clouds
281,Noumea,NC,-22.2763,166.4572,76.98,59,15,12.24,scattered clouds
282,Nizhnyaya Tavda,RU,57.6731,66.1725,50.34,75,100,8.84,scattered clouds
283,Yulara,AU,-25.2406,130.9889,74.43,46,96,7.9,scattered clouds
284,Churapcha,RU,62.0025,132.4325,30.02,54,99,7.54,scattered clouds
285,Aguimes,ES,27.9054,-15.4461,74.66,68,0,13.8,scattered clouds
286,Utashinai,JP,43.5167,142.05,57.9,98,100,8.79,scattered clouds
287,Isangel,VU,-19.55,169.2667,80.71,69,75,13.8,scattered clouds
288,Sisimiut,GL,66.9395,-53.6735,32.05,81,100,7.47,scattered clouds
289,Peniche,PT,39.3558,-9.3811,60.12,93,1,7.0,scattered clouds
290,Omboue,GA,-1.5746,9.2618,74.84,89,100,5.82,scattered clouds
291,Fairview,US,40.8126,-73.999,49.46,84,100,14.97,scattered clouds
292,Yatou,CN,37.15,122.3833,54.21,58,83,26.22,scattered clouds
293,Qaanaaq,GL,77.484,-69.3632,17.73,73,100,5.73,scattered clouds
294,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,50.59,76,0,11.18,scattered clouds
295,Constitucion,CL,-35.3333,-72.4167,47.77,90,38,3.78,scattered clouds
296,Cidreira,BR,-30.1811,-50.2056,52.63,81,8,5.86,scattered clouds
297,Ewo,CG,-0.8725,14.8206,68.94,95,67,1.86,scattered clouds
298,Texarkana,US,33.4251,-94.0477,68.23,58,0,3.44,scattered clouds
299,Aswan,EG,24.0934,32.907,80.31,37,0,7.25,scattered clouds
300,San Patricio,US,28.017,-97.5169,75.83,49,99,5.06,scattered clouds
301,Aspindza,GE,41.5739,43.2483,60.03,65,100,5.12,scattered clouds
302,Tomatlan,MX,19.9333,-105.25,72.93,96,100,3.02,scattered clouds
303,Kargasok,RU,59.0556,80.8572,37.54,62,100,13.42,scattered clouds
304,Mount Gambier,AU,-37.8333,140.7667,59.77,71,100,12.46,scattered clouds
305,Komsomolskiy,UZ,40.4272,71.7189,66.92,30,0,2.3,scattered clouds
306,Tapikan,PH,6.8519,124.3225,83.84,64,63,7.34,scattered clouds
307,Turangi,NZ,-39.0,175.9333,59.27,40,0,6.06,scattered clouds
308,Emet,TR,39.343,29.2585,46.94,90,7,4.76,scattered clouds
309,Kodinsk,RU,58.6881,99.1844,35.37,65,18,3.47,scattered clouds
310,Ust-Nera,RU,64.5667,143.2,20.93,83,98,6.87,scattered clouds
311,Tigil,RU,57.8,158.6667,41.74,96,100,13.06,scattered clouds
312,Fare,PF,-16.7,-151.0167,77.45,79,0,18.19,scattered clouds
313,Lukh,RU,57.0124,42.2584,47.57,83,6,12.82,scattered clouds
314,San Cristobal,VE,7.7669,-72.225,71.78,89,49,2.24,scattered clouds
315,La Palma,US,33.8464,-118.0467,75.9,80,0,4.61,scattered clouds
316,Pitimbu,BR,-7.4706,-34.8086,72.19,78,70,8.95,scattered clouds
317,Neryungri,RU,56.6709,124.6491,26.62,69,100,14.41,scattered clouds
318,Nanortalik,GL,60.1432,-45.2371,36.7,72,4,6.31,scattered clouds
319,Biak,ID,-0.9131,122.8766,83.52,68,34,2.21,scattered clouds
320,Nagarote,NI,12.2659,-86.5647,78.48,92,100,1.36,scattered clouds
321,Taber,CA,49.8167,-112.1518,55.6,85,26,9.22,scattered clouds
322,Oranjemund,NA,-28.55,16.4333,54.7,92,15,13.8,scattered clouds
323,Ales,FR,44.1333,4.0833,54.68,61,5,4.45,scattered clouds
324,Shupiyan,IN,33.7167,74.8333,61.72,35,0,3.33,scattered clouds
325,Walvis Bay,NA,-22.9575,14.5053,56.08,94,2,4.45,scattered clouds
326,Ossora,RU,59.2353,163.0719,41.49,75,99,4.29,scattered clouds
327,San Carlos De Bariloche,AR,-41.1456,-71.3082,45.25,79,75,16.11,scattered clouds
328,Manavalakurichi,IN,8.1333,77.3,83.89,67,96,16.53,scattered clouds
329,Mao,ES,39.8885,4.2658,63.16,94,20,6.91,scattered clouds
330,Trairi,BR,-3.2778,-39.2689,77.99,76,49,13.31,scattered clouds
331,Luderitz,NA,-26.6481,15.1594,55.24,81,0,18.72,scattered clouds
332,Chimoio,MZ,-19.1164,33.4833,64.26,100,0,2.98,scattered clouds
333,Shingu,JP,33.7333,135.9833,82.69,59,64,11.3,scattered clouds
334,Toora-Khem,RU,52.4675,96.11,37.49,25,15,1.68,scattered clouds
335,Pimentel,PE,-6.8367,-79.9342,62.01,87,69,12.75,scattered clouds
336,Eyl,SO,7.9803,49.8164,77.54,75,41,11.92,scattered clouds
